Date : 2025-10-19 23:18:15
Directory : /home/kun/projects/SharePix
Total : 141 files,  41194 codes, 991 comments, 11132 blanks, all 53317 lines

Languages
+--------------+------------+------------+------------+------------+------------+
| language     | files      | code       | comment    | blank      | total      |
| /home/kun/projects/SharePix/backend-service/src/core/comment_service.cpp                                               | C++          |        370 |         56 |         85 |        511 |
| /home/kun/projects/SharePix/backend-service/src/core/comment_service.h                                                 | C++          |         43 |         93 |         17 |        153 |
| /home/kun/projects/SharePix/backend-service/src/core/favorite_service.cpp                                              | C++          |         31 |          5 |         10 |         46 |
| /home/kun/projects/SharePix/backend-service/src/core/favorite_service.h                                                | C++          |          5 |         13 |          1 |         19 |
| /home/kun/projects/SharePix/backend-service/src/core/like_service.cpp                                                  | C++          |         31 |          5 |         10 |         46 |
| /home/kun/projects/SharePix/backend-service/src/core/like_service.h                                                    | C++          |          6 |         13 |          1 |         20 |
| /home/kun/projects/SharePix/backend-service/src/core/post_service.cpp                                                  | C++          |          0 |          2 |          1 |          3 |
| /home/kun/projects/SharePix/backend-service/src/core/user_service.cpp                                                  | C++          |         33 |         11 |         13 |         57 |
| /home/kun/projects/SharePix/backend-service/src/core/user_service.h                                                    | C++          |         16 |         29 |          8 |         53 |
| /home/kun/projects/SharePix/backend-service/src/database/comment_repository.cpp                                        | C++          |        500 |         35 |        142 |        677 |
| /home/kun/projects/SharePix/backend-service/src/database/comment_repository.h                                          | C++          |         20 |         75 |         14 |        109 |
| /home/kun/projects/SharePix/backend-service/src/database/favorite_repository.cpp                                       | C++          |         88 |         28 |         23 |        139 |
| /home/kun/projects/SharePix/backend-service/src/database/favorite_repository.h                                         | C++          |          6 |         12 |          1 |         19 |
| /home/kun/projects/SharePix/backend-service/src/database/image_repository.cpp                                          | C++          |         57 |          5 |          7 |         69 |
| /home/kun/projects/SharePix/backend-service/src/database/like_repository.cpp                                           | C++          |         88 |         28 |         23 |        139 |
| /home/kun/projects/SharePix/backend-service/src/database/like_repository.h                                             | C++          |          6 |         12 |          1 |         19 |
| /home/kun/projects/SharePix/backend-service/src/database/post_repository.cpp                                           | C++          |        241 |         37 |         51 |        329 |
| /home/kun/projects/SharePix/backend-service/src/database/post_repository.h                                             | C++          |          2 |         12 |          2 |         16 |
| /home/kun/projects/SharePix/backend-service/src/database/user_repository.cpp                                           | C++          |        190 |         40 |         54 |        284 |
| /home/kun/projects/SharePix/backend-service/src/database/user_repository.h                                             | C++          |          7 |         20 |          2 |         29 |
| /home/kun/projects/SharePix/backend-service/src/models/comment.cpp                                                     | C++          |         72 |         11 |         20 |        103 |
| /home/kun/projects/SharePix/backend-service/src/models/comment.h                                                       | C++          |         32 |         42 |         12 |         86 |
| /home/kun/projects/SharePix/backend-service/src/models/image.cpp                                                       | C++          |          4 |          2 |          0 |          6 |
| /home/kun/projects/SharePix/backend-service/src/models/image.h                                                         | C++          |          3 |          0 |          0 |          3 |
| /home/kun/projects/SharePix/backend-service/src/models/post.cpp                                                        | C++          |          9 |          3 |          1 |         13 |
| /home/kun/projects/SharePix/backend-service/src/models/post.h                                                          | C++          |          9 |          0 |          0 |          9 |
| /home/kun/projects/SharePix/backend-service/src/server/http_server.cpp                                                 | C++          |         10 |          1 |          1 |         12 |
| /home/kun/projects/SharePix/backend-service/src/server/http_server.h                                                   | C++          |          2 |          0 |          0 |          2 |
| /home/kun/projects/SharePix/backend-service/src/utils/avatar_processor.cpp                                             | C++          |        204 |         45 |         56 |        305 |
| /home/kun/projects/SharePix/backend-service/src/utils/avatar_processor.h                                               | C++          |         55 |         62 |         20 |        137 |
| /home/kun/projects/SharePix/backend-service/test/DIAGNOSIS_RESULT.md                                                   | Markdown     |          0 |          0 |          2 |          2 |
| /home/kun/projects/SharePix/backend-service/test/FAVORITE_400_DIAGNOSIS.md                                             | Markdown     |        171 |          0 |         57 |        228 |
| /home/kun/projects/SharePix/backend-service/test/diagnose_follow_route.md                                              | Markdown     |          0 |          0 |          2 |          2 |
| /home/kun/projects/SharePix/backend-service/test/test_comment_api.sh                                                   | Shell Script |        124 |         14 |         36 |        174 |
| /home/kun/projects/SharePix/backend-service/test/test_favorite_400.sh                                                  | Shell Script |        106 |         17 |         19 |        142 |
| /home/kun/projects/SharePix/backend-service/test/test_favorite_content_type.sh                                         | Shell Script |         34 |          7 |         12 |         53 |
| /home/kun/projects/SharePix/backend-service/test/test_favorites_batch_query.sh                                         | Shell Script |         78 |         11 |         20 |        109 |
| /home/kun/projects/SharePix/backend-service/test/test_memory_leak.sh                                                   | Shell Script |         22 |          3 |          6 |         31 |
| /home/kun/projects/SharePix/backend-service/test/test_user_id_logical.sh                                               | Shell Script |        113 |         17 |         31 |        161 |
| /home/kun/projects/SharePix/backend-service/test/test_user_posts_fix.sh                                                | Shell Script |        106 |         12 |         25 |        143 |
| /home/kun/projects/SharePix/backend-service/test/verify_logical_id.sh                                                  | Shell Script |         39 |          6 |          5 |         50 |
| Total                                                                                                                  |              |     41,194 |        991 |     11,132 |     53,317 |
+------------------------------------------------------------------------------------------------------------------------+--------------+------------+------------+------------+------------+
